feature,mean_abs_shap,normalized_importance
volatility_20,0.09110849,1.0
log_return_6m,0.055601448,0.61027735
atr_norm,0.049006697,0.53789383
volume_sma,0.048856787,0.53624845
dmp_14,0.043475997,0.47718927
volume_ratio,0.042220972,0.46341422
slope_sma_50,0.041822728,0.45904312
log_return_3m,0.040164955,0.44084755
sma_200,0.036726832,0.40311095
volume_zscore,0.03630542,0.39848557
adxr_14_2,0.03501978,0.3843745
price_rel_ma10,0.03374804,0.370416
dist_sma_200,0.031688638,0.34781212
atr,0.031161115,0.34202206
dist_sma_50,0.029568795,0.32454488
sma_50,0.021053473,0.23108134
ma20,0.019466313,0.21366079
volume,0.017410884,0.19110055
slope_rsi_14,0.016815683,0.18456767
ma10,0.016293634,0.1788377
dmn_14,0.015803443,0.17345741
return_6m,0.01427252,0.15665412
rsi_7,0.013265663,0.14560293
high,0.012278567,0.13476864
adx_14,0.011892329,0.13052931
open,0.0116395075,0.12775436
rsi_14,0.010769656,0.11820693
rsi_21,0.009669597,0.106132776
return_3m,0.009605296,0.10542701
close,0.009307503,0.10215845
low,0.00860291,0.094424896
ma10_ma20_cross_status,0.0035246965,0.038686804
